Order_ID,Order_Date,Customer_Age,Gender,City,Category,Qty,Unit Price,Discount,Shipping,Delivery,Sales,Profit,Rating,Profit_Category
SK100001,08-07-24,0,Male,Bengaluru,Beauty,5,37494,25,427,4,140602.5,11270.73,4,1
SK100002,21-03-25,150,Female,Lucknow,Beauty,4,45197,5,288,5,171748.6,13467.54,2,1
SK100003,29-09-24,26,Female,Jaipur,Grocery,-2,18665,20,298,3,44796,2194.68,4,0
SK100004,10-02-25,53,Male,Pune,Grocery,1,5483,120,175,9,5208.85,566,2,0
SK100005,10-03-24,33,Female,Delhi,Beauty,4,1562,-15,465,10,6248,880.5,4,0
SK100006,25-05-24,32,Female,Chennai,Sports,5,13184,5,226,-3,62624,5695.07,5,1
SK100007,01-03-25,41,Female,Bengaluru,Beauty,3,250000,0,131,2,124998,13567.33,1,1
SK100008,18-04-25,44,Male,Delhi,Electronics,5,27626,10,158,9,124317,80000,4,1
SK100009,03-05-24,,Male,Delhi,Furniture,2,25926,40,133,5,31111.2,7548.23,4,1
SK100010,14-06-24,39,Male,Chennai,Sports,1,20768,10,98,6,18691.2,4565.82,4,1
SK100011,22-11-24,64,Female,Jaipur,Furniture,4,23651,25,587,4,70953,16570.11,1,1
SK100012,26-11-24,63,Female,Hyderabad,Fashion,1,23968,15,320,1,20372.8,5740.27,5,1
SK100013,28-03-25,25,Male,Jaipur,Grocery,3,35794,30,285,5,75167.4,20297.84,2,1
SK100014,17-05-25,37,,Jaipur,Beauty,1,35625,15,446,8,30281.25,6247.92,3,1
SK100015,29-08-24,43,Male,Chennai,Furniture,2,7274,10,88,4,13093.2,2109.99,5,0
SK100016,06-04-25,63,Female,Bengaluru,Electronics,1,22570,10,283,2,20313,2816.98,3,0
SK100017,30-07-24,29,Female,Chennai,,3,3875,0,261,8,11625,2144.18,2,0
SK100018,07-11-24,19,Female,Chennai,Grocery,5,23322,15,565,1,99118.5,8829.62,5,1
SK100019,20-05-24,,Female,Mumbai,Sports,2,48994,25,,6,73491,10298.35,2,1
SK100020,04-01-24,62,Male,Pune,Grocery,3,28230,0,457,5,84690,9847.19,2,1
SK100021,28-09-24,42,Female,Jaipur,Furniture,5,30752,30,56,6,107632,16681.86,,1
SK100022,19-08-24,36,Male,Lucknow,Grocery,1,44036,15,484,4,37430.6,9845.93,5,1
SK100023,30-12-24,39,Male,Mumbai,Electronics,3,25005,5,583,2,71264.25,19884.53,1,1
SK100024,02-05-24,31,Female,Chennai,Sports,5,14514,0,184,5,72570,6518.45,4,1
SK100025,22-03-24,33,Female,Lucknow,Fashion,5,4758,40,493,7,14274,1296.53,3,0
SK100026,29-01-25,50,Male,Mumbai,Sports,4,14533,40,129,8,34879.2,5526.82,2,1
SK100027,13-05-24,53,Female,Lucknow,Fashion,2,5205,25,430,7,7807.5,1303.99,3,0
SK100028,14-05-24,38,Male,Lucknow,Grocery,4,42931,5,579,2,163137.8,35387.56,3,1
SK100029,06-01-25,,,Lucknow,Grocery,1,32367,5,144,2,30748.65,3804.71,4,1
SK100030,14-07-24,22,Male,Mumbai,Beauty,3,35820,20,144,7,85968,23462.89,1,1
SK100031,05-11-24,55,Male,Bengaluru,Electronics,3,10833,25,599,6,24374.25,2276.13,4,0
SK100032,08-03-25,53,Male,Hyderabad,Beauty,1,34626,15,124,6,29432.1,6587.8,2,1
SK100033,28-10-24,19,Male,Jaipur,Sports,4,33266,10,574,6,119757.6,24179.07,3,1
SK100034,02-01-25,58,Female,Lucknow,Fashion,2,44025,20,292,2,70440,3632.7,4,1
SK100035,01-08-24,33,Female,Mumbai,,2,8066,15,304,4,13712.2,2221.94,2,0
SK100036,30-05-25,43,Male,Pune,Grocery,3,13600,30,212,5,28560,5781.27,4,1
SK100037,02-06-24,64,Male,Delhi,Beauty,2,45650,30,235,5,63910,12960.35,3,1
SK100038,13-10-24,42,Female,Delhi,Fashion,1,912,25,124,7,684,30.5,5,0
SK100039,18-09-24,,Male,Delhi,Electronics,4,35756,30,,5,100116.8,24459.55,4,1
SK100040,26-04-24,37,Male,Chennai,Fashion,3,42960,20,472,2,103104,23669.61,1,1
SK100041,24-01-25,64,Male,Hyderabad,Fashion,1,18762,40,465,5,11257.2,2797.33,4,0
SK100042,01-03-24,26,Male,Delhi,Fashion,4,13293,10,320,4,47854.8,8354.68,2,1
SK100043,19-01-24,47,Female,Pune,Sports,3,23858,0,564,2,71574,6661.59,,1
SK100044,22-10-24,38,,Lucknow,Beauty,3,25206,25,54,4,56713.5,14630.23,3,1
SK100045,16-04-24,39,Female,Hyderabad,Furniture,1,49039,25,166,8,36779.25,9218.21,3,1
SK100046,31-07-24,18,Male,Bengaluru,Sports,3,44420,40,420,9,79956,20796.5,4,1
SK100047,11-05-25,28,Female,Chennai,Electronics,5,41174,30,525,3,144109,18998.11,3,1
SK100048,18-03-25,21,Male,Bengaluru,Beauty,3,27179,15,96,3,69306.45,14483.14,2,1
SK100049,03-08-24,,Female,Pune,Beauty,2,49340,30,357,5,69076,11675.46,1,1
SK100050,01-10-24,18,Female,Mumbai,Furniture,3,33751,25,320,3,75939.75,20217.08,4,1
SK100051,11-10-24,39,Female,Jaipur,Furniture,5,19917,30,86,10,69709.5,3757.31,1,1
SK100052,01-06-24,41,Female,Jaipur,Beauty,2,37725,0,528,6,75450,10607.36,1,1
SK100053,06-07-24,24,Male,Lucknow,,3,27438,40,526,1,49388.4,9933.67,4,1
SK100054,12-06-25,30,Female,Lucknow,Fashion,5,6143,10,117,5,27643.5,1772.61,3,0
SK100055,25-12-24,23,Male,Lucknow,Furniture,5,39384,15,490,6,167382,28529.17,2,1
SK100056,05-03-25,30,Female,Bengaluru,Sports,1,13734,10,177,7,12360.6,1939.26,1,0
SK100057,12-09-24,53,Female,Hyderabad,Electronics,5,31855,25,562,2,119456.25,22303.78,1,1
SK100058,13-01-24,27,Female,Delhi,Sports,5,36566,10,284,3,164547,24829.89,3,1
SK100059,20-03-24,,,Hyderabad,Fashion,3,9391,15,,10,23947.05,3799.61,3,1
SK100060,02-06-24,50,Female,Jaipur,Electronics,5,45480,0,425,1,227400,44295.9,2,1
SK100061,16-12-24,47,Female,Delhi,Fashion,3,22317,20,382,10,53560.8,4770.71,5,1
SK100062,31-05-24,19,Female,Delhi,Beauty,1,35604,40,554,3,21362.4,2333.82,5,0
SK100063,05-12-24,26,Male,Chennai,Sports,4,42210,25,445,9,126630,25035.96,4,1
SK100064,19-04-24,28,Female,Bengaluru,Electronics,1,22478,40,237,7,13486.8,1285.44,3,0
SK100065,12-01-24,56,Female,Lucknow,Furniture,1,16351,20,542,7,13080.8,2231.43,,0
SK100066,10-02-24,19,Male,Lucknow,Electronics,4,12385,30,543,9,34678,4017.85,1,1
SK100067,28-05-25,25,Male,Chennai,Sports,4,3802,10,250,9,13687.2,3427.8,4,1
SK100068,14-07-24,27,Female,Lucknow,Fashion,3,47215,0,341,5,141645,39888.76,1,1
SK100069,04-12-24,,Male,Hyderabad,Beauty,1,17659,30,253,2,12361.3,2280.12,3,0
SK100070,10-05-25,31,Female,Pune,Grocery,3,48274,5,209,5,137580.9,34015.9,4,1
SK100071,04-03-24,59,Female,Lucknow,,4,31243,10,113,1,112474.8,9717.81,3,1
SK100072,22-11-24,28,Male,Lucknow,Fashion,1,13786,5,123,3,13096.7,2587.89,3,0
SK100073,20-03-24,60,Male,Hyderabad,Fashion,3,20072,40,70,2,36129.6,9389.67,4,1
SK100074,09-05-25,37,,Hyderabad,Furniture,5,25482,5,146,4,121039.5,30679.92,5,1
SK100075,11-06-24,57,Male,Delhi,Sports,5,28988,20,95,4,115952,20277.07,4,1
SK100076,01-09-24,59,Female,Pune,Furniture,1,31730,30,486,1,22211,3511.99,2,1
SK100077,19-03-24,35,Female,Hyderabad,Sports,1,31599,25,404,8,23699.25,5511.17,4,1
SK100078,30-08-24,24,Female,Hyderabad,Grocery,2,11747,20,530,9,18795.2,2794.78,4,0
SK100079,26-01-24,,Male,Lucknow,Furniture,2,4134,15,,1,7027.8,1188.77,5,0
SK100080,08-11-24,37,Female,Mumbai,Sports,4,42326,5,111,7,160838.8,26610.01,5,1
SK100081,09-02-24,52,Male,Hyderabad,Grocery,1,30652,40,192,7,18391.2,1447.09,2,0
SK100082,04-01-25,22,Male,Delhi,Furniture,4,17531,40,168,6,42074.4,8273.21,1,1
SK100083,26-02-25,57,Male,Mumbai,Furniture,5,16702,30,309,4,58457,8170.76,5,1
SK100084,04-06-24,24,Male,Jaipur,Sports,2,784,25,255,2,1176,-34.69,2,0
SK100085,13-11-24,56,Female,Chennai,Beauty,1,49349,40,439,1,29609.4,4799.89,3,1
SK100086,22-07-24,43,Male,Hyderabad,Furniture,4,9507,40,582,4,22816.8,5194.52,4,1
